CA61D429-F15F-4E8E-9E9E-B298AF4BFAD2	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Формирование реестра на оплату. Отложенных платежей]->{Формирование оплат}	{                           var districtRegistryDefId = new Guid("{ADF1D21A-5FCE-4F42-8889-D0714DDF7	843CAF19-DD6B-491A-9202-03A94BAC9256	1	1	1	6209
F2B4EAFE-A570-4703-8FD4-950CC608FFAC	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Формирование реестра на оплату]->{Подготовка выборки}	{      var appDefId = new Guid("{4F9F2AE2-7180-4850-A3F4-5FB47313BCC0}");      var bankAccountDefId 	3B6140F7-A8F0-484C-ABA2-1F77A583967E	1	1	1	1402
1A4CE688-E792-4EAA-A636-F6C47777883D	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Формирование реестра на оплату]->{Подготовка реестра}	{      if (context.CurrentDocument != null) //(obj != null)       {           Doc doc = context.Curr	3B6140F7-A8F0-484C-ABA2-1F77A583967E	1	1	1	1287
3EA09A68-9EA2-4AC1-A941-BB3B3562F635	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Формирование реестра на оплату]->{Формирование оплат}	{                           var DistrictBankOpenDefId = new Guid("{ADF1D21A-5FCE-4F42-8889-D0714DDF7	3B6140F7-A8F0-484C-ABA2-1F77A583967E	1	1	1	5595
EBC12C61-6612-4DF6-843A-9130E9EEBCC0	[Выплаты АСП]->[Процессы]->[Реестр на открытие счетов]->[***Печать банковского реестра на открытие счетов]->{Скрипт}	using System;  using System.IO;  using System.Drawing;  using System.Collections.Generic;  using Int	5E8B4E40-9D06-4487-805B-130927698567	1	1	1	8613
F4D3A37A-A7FB-46CD-BB1B-38EEEAC725C4	[Выплаты АСП]->[Процессы]->[Реестр на открытие счетов]->[CSV Выгрузка реестра на открытие счетов]->{Формирование файла}	{       var bankAccountDefId = new Guid("{BE6D5C1F-48A6-483B-980A-14CEFF781FD4}");//Банковский счет 	9EFD32AD-73C1-48D3-A5DE-6A6E8C87A8C3	1	1	2	4385
EEFB656D-7AB6-492F-AA9C-860E42CCA865	[Выплаты АСП]->[Процессы]->[Реестр на открытие счетов]->[Выгрузка банковского реестра на открытие счетов]->{Скрипт}	using System;  using System.IO;  using System.Drawing;  using System.Collections.Generic;  using Int	13304302-092B-451B-A182-904DF73877E2	1	1	2	8047
78B1BD6F-47C8-4FF1-AFB6-66F0FA7EA758	[Выплаты АСП]->[Процессы]->[Реестр на открытие счетов]->[Формирование реестра на открытие б/счетов]->{Подготовка выборки}	{      var appDefId = new Guid("{4F9F2AE2-7180-4850-A3F4-5FB47313BCC0}");      var bankAccountDefId 	6FBB1C66-B7EB-48D8-8E2B-50CB6828092E	1	1	1	529
7C51854E-F87B-45C5-860B-4582A4533FC1	[Выплаты АСП]->[Процессы]->[Реестр на открытие счетов]->[Формирование реестра на открытие б/счетов]->{Подготовка реестра}	{      if (context.CurrentDocument != null) //(obj != null)       {           Doc doc = context.Curr	6FBB1C66-B7EB-48D8-8E2B-50CB6828092E	1	1	1	1054
4FE0913F-0F00-4849-8A4D-0F2067E218A8	[Выплаты АСП]->[Процессы]->[Реестр на открытие счетов]->[Формирование реестра на открытие б/счетов]->{Формирование расчетных счетов}	{      var bankAccountDefId = new Guid("{BE6D5C1F-48A6-483B-980A-14CEFF781FD4}");      var onPrepari	6FBB1C66-B7EB-48D8-8E2B-50CB6828092E	1	1	1	2289
BD0BDEFF-E430-4ABF-99E0-C12A44F3F337	[Выплаты АСП]->[Процессы]->[Утвердить]->{Скрипт}	{        dynamic app = context.GetDynaDoc(context.Get<Guid>("InputDocumentId"));            context.	F1C78F44-0452-4AB1-B1B6-3706BE5CC4F5	1	1	4	134
FE2E6A2E-6AB6-4F02-91B4-A0D9FB375E0B	[Выплаты АСП]->[Процессы]->[Формирование назначений]->{Формирование}	{        var account = context.CurrentDocument;                if (account == null)            throw	EE2AD9F9-E53C-4AC0-BD64-09B5A23516A2	1	1	1	4241
8E493745-81F3-405A-8BF1-402B7546F5CD	[Выплаты АСП]->[Процессы]->[Формирование реестра о переназначении]->{Подготовка}	{      if (context.CurrentDocument != null) //(obj != null)       {           Doc doc = context.Curr	A458C328-EDF2-47EB-A026-D94E662AC221	1	1	1	1054
